No,Destination Name,Address,Subdistrict,Regency,Latitude,Longitude,Category 1,Category 2 ,Category 3,Rating,Google Reviews (Count),Source,Child Entry,Adults Entry,Normal Hotel Price
1,Tanah Lot,"Beraban, Kec. Kediri, Kabupaten Tabanan, Bali 82121",Kediri,Tabanan,-8.6212,115.0868,Historical Landmark,Temple,Tourist Destination,4.6,75899,"https://www.google.com/maps/place/Tanah+Lot/@-8.6212118,115.0846145,17z/data=!4m5!3m4!1s0x2dd237824f71deab:0xcaabe270f7e34d69!8m2!3d-8.621213!4d115.086807","Rp30,000","Rp60,000",
2,Mount Batur,"Bangli, Bali, Indonesia",Kintamani,Bangli,-8.2389,115.3775,Mountain,Lake,Tourist Destination,4.5,2580,"https://www.google.com/maps/place/Mt+Batur/@-8.2401298,115.3774944,14z/data=!3m1!4b1!4m5!3m4!1s0x2dd1f403c8e8ee3f:0xd38045afa18670b4!8m2!3d-8.2401299!4d115.3774944",,,
3,Uluwatu Temple,"Uluwatu (South Kuta, Badung)",Kuta,Badung,-8.8291,115.0849,Temple,Historical Landmark,Tourist Destination,4.6,28800,"https://www.google.com/maps/place/Uluwatu+Temple/@-8.8293567,115.0851721,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd24ffc20cb8191:0xcb98d1ba7db0495!8m2!3d-8.8291432!4d115.0849069","Rp15,000","Rp30,000",
4,Ubud Monkey Forest,"Jl. Monkey Forest, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",Ubud,Gianyar,-8.5194,115.2606,Wildlife,Forest,Tourist Destination,4.5,36099,"https://www.google.com/maps/place/Sacred+Monkey+Forest+Sanctuary/@-8.5193727,115.2606299,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd23d43f6189b67:0xb6ec43164befc356!8m2!3d-8.5193727!4d115.2606299","Rp40,000","Rp50,000",
5,Goa Gajah,"Gianyar, Bali",Ubud,Gianyar,-8.5069,115.2625,Historical Landmark,Temple,Tourist Destination,4.2,6683,"https://www.google.com/maps/place/Goa+Gajah/@-8.5234022,115.2868531,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd216319e3e8cbb:0xcf6f85fcf798a545!8m2!3d-8.5234378!4d115.2871568","Rp25,000","Rp50,000",
6,Jatiluwih Rice Terraces in Bali,"Village, Jl. Jatiluwih Kawan No.Desa, Jatiluwih, Kec. Penebel, Kabupaten Tabanan, Bali 82152",Penebel,Tabanan,-8.3686,115.1305,Rice Field,Countryside,Tourist Destination,4.7,7798,"https://www.google.com/maps/place/Jatiluwih+Rice+Terraces/@-8.37031,115.131372,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd227ab020cd7fb:0x2f0f875ff3e6839a!8m2!3d-8.37031!4d115.131372","Rp40,000","Rp40,000",
7,Tenggalang Rice Terrace,"Jl. Raya Tegallalang, Tegallalang, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561",Tegallalang,Gianyar,-8.4028,115.288,Rice Field,Countryside,Tourist Destination,4.4,33732,"https://www.google.com/maps/place/Tegallalang+Rice+Terrace/@-8.4340403,115.2792569,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd2220b23f900e3:0x8d1a8969386c04ed!8m2!3d-8.4340403!4d115.2792569","Rp20,000","Rp20,000",
8,Pura Ulun Danu Bratan,"Danau Beratan, Candikuning, Kec. Baturiti, Kabupaten Tabanan, Bali 82191",Baturiti,Tabanan,-8.2753,115.1664,Historical Landmark,Temple,Tourist Destination,4.7,29178,"https://www.google.com/maps/place/Ulun+Danu+Beratan+Temple/@-8.2751807,115.1668234,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd1896c9fac0857:0x18246568e4db1b53!8m2!3d-8.2751807!4d115.1668234","Rp25,000","Rp50,000",
9,Seminyak Beach,"Kuta, Badung, Bali",Kuta,Badung,-8.6913,115.1682,Beach,Beachside,Tourist Destination,4.5,3195,"https://www.google.com/maps/place/Seminyak+Beach/@-8.6899792,115.1562856,15z/data=!3m1!4b1!4m5!3m4!1s0x2dd2471c804bfd05:0xdcc2b5ae63dc9082!8m2!3d-8.6920123!4d115.1578837",,,
10,Nusa Dua Beach,"Kuta, Badung, Bali",Kuta,Badung,-8.7941,115.2302,Beach,Beachside,Tourist Destination,4.6,6171,"https://www.google.com/maps/place/Nusa+Dua+Beach/@-8.8004119,115.2360119,14z/data=!3m1!4b1!4m5!3m4!1s0x2dd242d6feba16fd:0x84a7328be1e50953!8m2!3d-8.8004121!4d115.2360119",,,
